,Well,Size,Bit_Number,Re_Run,Reference,Type,Structure,Formation,Footage,Depth in,Depth out,Depth Average,Blades,Cutter size,Min Flow Rate,Max Flow Rate,TFA,HSI,Min WOB,Max WOB,ROP,Mud Weight,Drive_System,Min_RPM,Max_RPM,Torque Max,Torque Min,Manufacturer
0,Florida 7,36.0,1,N,L3A,Tricone,Anticlinal N,C5,82.00000000000001,49,131,90.0,3.0,0.0,430.0,430.0,4.712,0.0014506581151991075,4.999999999999999,13.0,10.1,8.5,Rotary,60.0,80.0,5.0,3.0,Varel
1,Florida 7,26.0,2,N,T43,Tricone,Anticlinal N,C5,15.0,131,146,138.5,3.0,0.0,540.0,540.0,1.199,0.08506903132329459,17.999999999999996,23.0,8.3,8.5,Rotary,48.0,48.0,15.0,2.0,Hycalog
2,Florida 7,26.0,2,R,T43,Tricone,Anticlinal N,C5,709.0,146,1402,774.0,3.0,0.0,580.0,800.0,1.199,0.5,24.999999999999996,78.0,11.289999999999997,8.5,RSS,47.0,73.0,15.0,2.0,Hycalog
3,Florida 7,26.0,2,R,T43,Tricone,Anticlinal N,C6,547.0,146,1402,774.0,3.0,0.0,580.0,800.0,1.199,0.5,24.999999999999996,78.0,11.289999999999997,8.5,RSS,47.0,73.0,15.0,2.0,Hycalog
4,Florida 7,26.0,3,N,GTX-CM03,Tricone,Anticlinal N,C6,438.0000000000001,1402,2241,1821.5,3.0,0.0,900.0,1050.0,0.942,0.842,40.0,55.0,14.320000000000002,9.6,RSS,144.0,168.0,15.0,2.0,Hughes
5,Florida 7,26.0,3,N,GTX-CM03,Tricone,Anticlinal M,C5,319.99999999999994,1402,2241,1821.5,3.0,0.0,900.0,1050.0,0.942,0.842,40.0,55.0,14.320000000000002,9.6,RSS,144.0,168.0,15.0,2.0,Hughes
6,Florida 7,26.0,3,N,GTX-CM03,Tricone,Anticlinal M,C6,81.00000000000003,1402,2241,1821.5,3.0,0.0,900.0,1050.0,0.942,0.842,40.0,55.0,14.320000000000002,9.6,RSS,144.0,168.0,15.0,2.0,Hughes
7,Florida 7,18.5,4,N,RSR819M-A1,PDC,Anticlinal M,C6,1165.9999999999998,2241,3407,2824.0,8.0,19.0,750.0,850.0,1.988,0.303,4.0,12.0,32.03,9.8,RSS,120.0,136.0,15.0,6.0,Hycalog
8,Florida 7,18.5,4,R,RSR819M-A1,PDC,Anticlinal M,C6,1113.0000000000002,3407,5422,4414.5,8.0,19.0,850.0,900.0,1.988,0.304,7.999999999999998,35.0,34.14999999999999,9.8,RSS,136.0,144.0,15.0,6.0,Hycalog
9,Florida 7,18.5,4,R,RSR819M-A1,PDC,Anticlinal M,C7,870.0000000000002,3407,5422,4414.5,8.0,19.0,850.0,900.0,1.988,0.304,7.999999999999998,35.0,34.14999999999999,9.8,RSS,136.0,144.0,15.0,6.0,Hycalog
10,Florida 7,18.5,5,N,HCM606ZX,PDC,Anticlinal M,C6,304.00000000000006,5422,5853,5637.5,6.0,19.0,850.0,900.0,2.24,0.29,7.999999999999998,25.0,17.589999999999996,9.8,RSS,136.0,144.0,15.0,6.0,Hughes
11,Florida 7,18.5,5,N,HCM606ZX,PDC,Anticlinal M,C7,126.99999999999999,5422,5853,5637.5,6.0,19.0,850.0,900.0,2.24,0.29,7.999999999999998,25.0,17.589999999999996,9.8,RSS,136.0,144.0,15.0,6.0,Hughes
12,Florida 7,18.5,5,R,HCM606ZX,PDC,Anticlinal M,C7,597.0000000000001,5853,6450,6151.5,6.0,19.0,850.0,900.0,2.24,0.29,7.999999999999998,25.0,9.000000000000002,10.0,RSS,136.0,140.0,15.0,6.0,Hughes
13,Florida 7,14.75,6,N,GTX CMSG3,Tricone,Anticlinal M,C7,4.0,6450,6454,6452.0,3.0,0.0,500.0,860.0,1.875,0.44,4.999999999999999,25.0,1.0,10.5,Rotary,50.0,80.0,7.0,5.0,Hughes
14,Florida 7,14.75,7,N,QD 609ZX,PDC,Anticlinal M,C7,253.00000000000003,6454,8631,7542.5,9.0,19.0,800.0,850.0,1.491,0.964,4.999999999999999,25.0,40.39,10.8,RSS,100.0,100.0,15.0,8.0,Hughes
15,Florida 7,14.75,7,N,QD 609ZX,PDC,Anticlinal M,C8,1924.0000000000002,6454,8631,7542.5,9.0,19.0,800.0,850.0,1.491,0.964,4.999999999999999,25.0,40.39,10.8,RSS,100.0,100.0,15.0,8.0,Hughes
16,Florida 7,14.75,7,RR,QD609Z,PDC,Anticlinal M,C7,1604.0000000000005,8631,10927,9779.0,9.0,19.0,850.0,850.0,1.491,0.973,4.999999999999999,40.0,23.600000000000005,11.1,RSS,80.0,140.0,14.0,8.0,Hughes
17,Florida 7,14.75,7,RR,QD609Z,PDC,Anticlinal M,C8,598.9999999999999,8631,10927,9779.0,9.0,19.0,850.0,850.0,1.491,0.973,4.999999999999999,40.0,23.600000000000005,11.1,RSS,80.0,140.0,14.0,8.0,Hughes
18,Florida 7,14.75,7,RR,QD609Z,PDC,Anticlinal F,C7,93.00000000000003,8631,10927,9779.0,9.0,19.0,850.0,850.0,1.491,0.973,4.999999999999999,40.0,23.600000000000005,11.1,RSS,80.0,140.0,14.0,8.0,Hughes
19,Florida 7,14.75,8,N,QD609ZX,PDC,Anticlinal F,C7,53.00000000000001,10927,12279,11603.0,9.0,19.0,830.0,830.0,1.491,0.93,15.0,32.0,19.020000000000003,11.8,RSS,80.0,130.0,17.0,10.0,Hughes
20,Florida 7,14.75,8,N,QD609ZX,PDC,Anticlinal F,C8,1277.9999999999998,10927,12279,11603.0,9.0,19.0,830.0,830.0,1.491,0.93,15.0,32.0,19.020000000000003,11.8,RSS,80.0,130.0,17.0,10.0,Hughes
21,Florida 7,14.75,8,N,QD609ZX,PDC,Anticlinal F,Mirador,21.0,10927,12279,11603.0,9.0,19.0,830.0,830.0,1.491,0.93,15.0,32.0,19.020000000000003,11.8,RSS,80.0,130.0,17.0,10.0,Hughes
22,Florida 7,10.625,9,N,QD408FX,PDC,Anticlinal F,Mirador,147.99999999999994,12279,12427,12353.0,8.0,13.0,410.0,650.0,1.571,0.641,4.999999999999999,47.0,3.5,11.9,RSS,50.0,100.0,13.37,3.5,Hughes
23,Florida 7,10.625,10,N,FMH3953ZR,PDC,Anticlinal F,Mirador,36.0,12427,12463,12445.0,9.0,16.0,600.0,608.0,1.988,0.315,4.999999999999999,45.0,1.5,9.5,RSS,54.0,92.0,12.0,9.5,Security
24,Florida 7,10.625,11,N,HH378,Impregnated,Anticlinal F,Mirador,130.99999999999994,12463,12594,12528.5,18.0,0.0,600.0,600.0,1.94,0.315,4.999999999999999,20.0,1.85,9.5,RSS,160.0,194.0,10.7,9.0,Hughes
25,Florida 7,10.625,12,N,MDSi813LBPXX,PDC,Anticlinal F,Mirador,159.99999999999994,12594,12754,12674.0,8.0,13.0,600.0,600.0,1.98,0.315,10.000000000000002,30.0,1.63,9.5,RSS,60.0,80.0,12.0,8.0,Smith
26,Florida 7,10.625,13,N,FXD94i,PDC,Anticlinal F,Mirador,138.00000000000006,12754,12903,12828.5,9.0,13.0,550.0,600.0,1.703,0.429,10.000000000000002,30.0,1.3,9.5,RSS,55.0,120.0,10.0,8.0,Security
27,Florida 7,10.625,13,N,FXD94i,PDC,Anticlinal F,Los Cuervos,11.000000000000002,12754,12903,12828.5,9.0,13.0,550.0,600.0,1.703,0.429,10.000000000000002,30.0,1.3,9.5,RSS,55.0,120.0,10.0,8.0,Security
28,Florida 7,10.625,14,N,FXD75DM,PDC,Anticlinal F,Los Cuervos,414.99999999999983,12903,13318,13110.5,7.0,16.0,550.0,650.0,1.706,0.558,7.999999999999998,35.0,4.1,9.5,RSS,60.0,120.0,10.5,9.5,Security
