Size,Re_Run,Type,Structure,Formation,Log Footage,Depth Average,Blades,Cutter size,Min Flow Rate,Max Flow Rate,TFA,HSI,Log Min WOB,Max WOB,Log ROP,Mud Weight,Drive_System,Min_RPM,Max_RPM,Torque Max,Torque Min,Manufacturer
36.0,0,3,4,5,4.406719247264253,90.0,3.0,0.0,430.0,430.0,4.712,0.0014506581151991075,1.6094379124341003,13.0,2.312535423847214,8.5,2,60.0,80.0,5.0,3.0,5
26.0,0,3,4,5,2.70805020110221,138.5,3.0,0.0,540.0,540.0,1.199,0.08506903132329459,2.8903717578961645,23.0,2.1162555148025524,8.5,2,48.0,48.0,15.0,2.0,2
26.0,1,3,4,5,6.5638555265321274,774.0,3.0,0.0,580.0,800.0,1.199,0.5,3.2188758248682006,78.0,2.4239173781615704,8.5,1,47.0,73.0,15.0,2.0,2
26.0,1,3,4,6,6.304448802421981,774.0,3.0,0.0,580.0,800.0,1.199,0.5,3.2188758248682006,78.0,2.4239173781615704,8.5,1,47.0,73.0,15.0,2.0,2
26.0,0,3,4,6,6.082218910376446,1821.5,3.0,0.0,900.0,1050.0,0.942,0.842,3.6888794541139363,55.0,2.6616571615324998,9.6,1,144.0,168.0,15.0,2.0,1
26.0,0,3,3,5,5.768320995793772,1821.5,3.0,0.0,900.0,1050.0,0.942,0.842,3.6888794541139363,55.0,2.6616571615324998,9.6,1,144.0,168.0,15.0,2.0,1
26.0,0,3,3,6,4.394449154672439,1821.5,3.0,0.0,900.0,1050.0,0.942,0.842,3.6888794541139363,55.0,2.6616571615324998,9.6,1,144.0,168.0,15.0,2.0,1
18.5,0,2,3,6,7.061334366910438,2824.0,8.0,19.0,750.0,850.0,1.988,0.303,1.3862943611198906,12.0,3.466672963621067,9.8,1,120.0,136.0,15.0,6.0,2
18.5,1,2,3,6,7.014814351275545,4414.5,8.0,19.0,850.0,900.0,1.988,0.304,2.0794415416798357,35.0,3.530762586016799,9.8,1,136.0,144.0,15.0,6.0,2
18.5,1,2,3,7,6.76849321164863,4414.5,8.0,19.0,850.0,900.0,1.988,0.304,2.0794415416798357,35.0,3.530762586016799,9.8,1,136.0,144.0,15.0,6.0,2
18.5,0,2,3,6,5.717027701406222,5637.5,6.0,19.0,850.0,900.0,2.24,0.29,2.0794415416798357,25.0,2.8673305587494666,9.8,1,136.0,144.0,15.0,6.0,1
18.5,0,2,3,7,4.844187086458591,5637.5,6.0,19.0,850.0,900.0,2.24,0.29,2.0794415416798357,25.0,2.8673305587494666,9.8,1,136.0,144.0,15.0,6.0,1
18.5,1,2,3,7,6.391917113392602,6151.5,6.0,19.0,850.0,900.0,2.24,0.29,2.0794415416798357,25.0,2.1972245773362196,10.0,1,136.0,140.0,15.0,6.0,1
14.75,0,3,3,7,1.3862943611198906,6452.0,3.0,0.0,500.0,860.0,1.875,0.44,1.6094379124341003,25.0,0.0,10.5,2,50.0,80.0,7.0,5.0,1
14.75,0,2,3,7,5.53338948872752,7542.5,9.0,19.0,800.0,850.0,1.491,0.964,1.6094379124341003,25.0,3.6985822295753215,10.8,1,100.0,100.0,15.0,8.0,1
14.75,0,2,3,8,7.562161631225652,7542.5,9.0,19.0,800.0,850.0,1.491,0.964,1.6094379124341003,25.0,3.6985822295753215,10.8,1,100.0,100.0,15.0,8.0,1
14.75,4,2,3,7,7.38025578842646,9779.0,9.0,19.0,850.0,850.0,1.491,0.973,1.6094379124341003,40.0,3.1612467120315646,11.1,1,80.0,140.0,14.0,8.0,1
14.75,4,2,3,8,6.395261598115449,9779.0,9.0,19.0,850.0,850.0,1.491,0.973,1.6094379124341003,40.0,3.1612467120315646,11.1,1,80.0,140.0,14.0,8.0,1
14.75,4,2,1,7,4.532599493153256,9779.0,9.0,19.0,850.0,850.0,1.491,0.973,1.6094379124341003,40.0,3.1612467120315646,11.1,1,80.0,140.0,14.0,8.0,1
14.75,0,2,1,7,3.970291913552122,11603.0,9.0,19.0,830.0,830.0,1.491,0.93,2.70805020110221,32.0,2.9454910571172443,11.8,1,80.0,130.0,17.0,10.0,1
14.75,0,2,1,8,7.15305163493748,11603.0,9.0,19.0,830.0,830.0,1.491,0.93,2.70805020110221,32.0,2.9454910571172443,11.8,1,80.0,130.0,17.0,10.0,1
