Well;Size;Bit_Number;Re_Run;Reference;Type;Date_in;Structure;Formation;Footage (ft);Depth in (ft);Depth out (ft);Depth Average (ft);Blades;Cutter size (mm);Min Flow Rate (gpm);Max Flow Rate (gpm);TFA (sq in);HSI;Min WOB (klb);Max WOB (klb);Average_ROP;Mud Weight (ppg);Dull_Grading;Drive_System;Min_RPM;Max_RPM;Torque Max (kft-lb);Torque Min (kft-lb);Manufacturer
Florida 7;36;1;;L3A;Tricone;6-sep-10;Anticlinal N;C5;82;49;131;90;;;430;430;4,712;0,001;5;13;10,1;8,5;0-0-NO-A-E-I-NO-TD;Rotary;60;80;5;3;Varel
Florida 7;26;2;;T43;Tricone;8-sep-10;Anticlinal N;C5;15;131;146;138,5;;;540;540;1,199;0,085;18;23;8,3;8,5;N/A;Rotary;48;48;;;Hycalog
Florida 7;26;2;R;T43;Tricone;9-sep-10;Anticlinal N;C5;709;146;1402;774;;;580;800;1,199;0,500;25;78;11,29;8,5;1-1-WT-A-E-I-BU-PR;RSS;47;73;;;Hycalog
Florida 7;26;2;R;T43;Tricone;9-sep-10;Anticlinal N;C6;547;146;1402;774;;;580;800;1,199;0,500;25;78;11,29;8,5;1-1-WT-A-E-I-BU-PR;RSS;47;73;;;Hycalog
Florida 7;26;3;;GTX-CM03;Tricone;16-sep-10;Anticlinal N;C6;438;1402;2241;1821,5;;;900;1050;0,942;0,842;40;55;14,32;9,6;2-3-WT-A-F-2-BU-TD;RSS;144;168;;;Hughes
Florida 7;26;3;;GTX-CM03;Tricone;16-sep-10;Anticlinal M;C5;320;1402;2241;1821,5;;;900;1050;0,942;0,842;40;55;14,32;9,6;2-3-WT-A-F-2-BU-TD;RSS;144;168;;;Hughes
Florida 7;26;3;;GTX-CM03;Tricone;16-sep-10;Anticlinal M;C6;81;1402;2241;1821,5;;;900;1050;0,942;0,842;40;55;14,32;9,6;2-3-WT-A-F-2-BU-TD;RSS;144;168;;;Hughes
Florida 7;18 1/2;4;;RSR819M-A1;PDC;24-sep-10;Anticlinal M;C6;1166;2241;3407;2824;8;19;750;850;1,988;0,303;4;12;32,03;9,8;1-1-WT-A-X-I-PN-PP;RSS;120;136;;;Hycalog
Florida 7;18 1/2;4;R;RSR819M-A1;PDC;30-sep-10;Anticlinal M;C6;1113;3407;5422;4414,5;8;19;850;900;1,988;0,304;8;35;34,15;9,8;1-1-WT-A-X-I-CT-BHA;RSS;136;144;;;Hycalog
Florida 7;18 1/2;4;R;RSR819M-A1;PDC;30-sep-10;Anticlinal M;C7;870;3407;5422;4414,5;8;19;850;900;1,988;0,304;8;35;34,15;9,8;1-1-WT-A-X-I-CT-BHA;RSS;136;144;;;Hycalog
Florida 7;18 1/2;5;;HCM606ZX;PDC;6-oct-10;Anticlinal M;C6;304;5422;5853;5637,5;6;19;850;900;2,24;0,290;8;25;17,59;9,8;0-0-NO-A-X-I-NO-DTF;RSS;136;144;;;Hughes
Florida 7;18 1/2;5;;HCM606ZX;PDC;6-oct-10;Anticlinal M;C7;127;5422;5853;5637,5;6;19;850;900;2,24;0,290;8;25;17,59;9,8;0-0-NO-A-X-I-NO-DTF;RSS;136;144;;;Hughes
Florida 7;18 1/2;5;R;HCM606ZX;PDC;9-oct-10;Anticlinal M;C7;597;5853;6450;6151,5;6;19;850;900;2,24;0,290;8;25;9;10;1-1-WT-A-X-I-NO-TD;RSS;136;140;;;Hughes
Florida 7;14 3/4;6;;GTX CMSG3;Tricone;23-oct-10;Anticlinal M;C7;4;6450;6454;6452;;;500;860;1,875;0,440;5;25;0,5;10,5;2-1-BT-IR-E-I-LT-BHA;Rotary;50;80;7;5;Hughes
Florida 7;14 3/4;7;;QD 609ZX;PDC;25-oct-10;Anticlinal M;C7;253;6454;8631;7542,5;9;19;800;850;1,491;0,964;5;25;40,39;10,8;0-1-WT-A-X-I-NO-DTF;RSS;100;100;15;8;Hughes
