iter	Passed	Remaining
0	3	3332
1	5	2676
2	7	2473
3	9	2326
4	11	2195
5	12	2114
6	14	2040
7	16	1988
8	18	2037
9	20	1991
10	21	1953
11	23	1916
12	24	1884
13	26	1860
14	28	1852
15	29	1834
16	31	1815
17	33	1841
18	36	1882
19	38	1908
20	41	1912
21	42	1894
22	44	1876
23	45	1868
24	47	1864
25	50	1885
26	52	1907
27	55	1910
28	56	1898
29	58	1884
30	59	1868
31	61	1856
32	62	1842
33	65	1847
34	67	1868
35	69	1857
36	70	1845
37	72	1834
38	74	1835
39	76	1824
40	77	1814
41	79	1802
42	81	1818
43	84	1825
44	86	1826
45	87	1816
46	89	1809
47	90	1799
48	92	1793
49	94	1787
50	95	1781
51	97	1785
52	99	1785
53	101	1779
54	103	1772
55	104	1766
56	106	1759
57	107	1752
58	109	1744
59	110	1738
60	113	1749
61	115	1751
62	117	1745
63	118	1739
64	120	1732
65	122	1727
66	123	1722
67	125	1716
68	126	1712
69	128	1710
70	131	1716
71	132	1710
72	134	1704
73	135	1698
74	137	1693
75	138	1687
76	140	1684
77	142	1679
78	144	1689
79	146	1690
80	148	1685
81	150	1680
82	151	1676
83	153	1672
84	154	1667
85	156	1662
86	158	1661
87	160	1662
88	161	1656
89	163	1652
90	165	1648
91	166	1643
92	168	1640
93	169	1636
94	171	1632
95	172	1627
96	174	1624
97	176	1620
98	177	1617
99	179	1616
100	181	1612
101	182	1607
102	184	1603
103	185	1599
104	187	1598
105	189	1594
106	190	1593
107	192	1589
108	193	1585
109	195	1582
110	197	1580
111	198	1577
112	200	1573
113	201	1569
114	203	1565
115	204	1562
116	206	1561
117	208	1558
118	209	1554
119	211	1550
120	212	1547
121	214	1543
122	216	1541
123	217	1537
124	219	1534
125	220	1531
126	222	1528
127	223	1525
128	225	1522
129	227	1519
130	229	1519
131	230	1516
132	232	1512
133	233	1509
134	235	1507
135	238	1512
136	240	1512
137	241	1509
138	243	1507
139	244	1504
140	246	1501
141	247	1498
142	249	1495
143	251	1492
144	252	1489
145	254	1488
146	256	1485
147	257	1483
148	259	1480
149	260	1477
150	262	1475
151	264	1474
152	265	1471
153	267	1468
154	269	1467
155	270	1464
156	272	1462
157	273	1459
158	275	1456
159	276	1453
160	278	1450
161	279	1447
162	281	1445
163	283	1443
164	284	1441
165	286	1439
166	288	1436
167	289	1433
168	291	1431
169	292	1428
170	294	1426
171	295	1423
172	297	1421
173	298	1418
174	300	1416
175	302	1414
176	303	1411
177	305	1408
178	306	1405
179	308	1403
180	309	1401
181	311	1398
182	312	1396
183	314	1393
184	315	1391
185	317	1388
186	318	1386
187	320	1384
188	322	1382
189	323	1380
190	325	1377
191	326	1375
192	328	1372
193	329	1370
194	331	1369
195	333	1369
196	335	1367
197	336	1364
198	338	1363
199	340	1361
200	341	1358
201	343	1356
202	344	1353
203	346	1351
204	348	1352
205	350	1350
206	351	1347
207	353	1345
208	354	1342
209	356	1340
210	358	1339
211	360	1339
212	362	1338
213	364	1339
214	367	1340
215	368	1338
216	370	1336
217	372	1335
218	373	1333
219	375	1331
220	377	1331
221	379	1330
222	381	1329
223	384	1330
224	386	1329
225	388	1329
226	390	1329
227	392	1328
228	394	1326
229	395	1325
230	397	1323
231	399	1320
232	400	1318
233	402	1316
234	403	1314
235	405	1311
236	406	1309
237	408	1306
238	409	1304
239	411	1302
240	412	1300
241	413	1295
242	415	1293
243	416	1290
244	418	1288
245	419	1285
246	421	1283
247	422	1281
248	424	1280
249	426	1278
250	427	1276
251	429	1273
252	430	1271
253	432	1268
254	433	1266
255	435	1264
256	436	1262
257	438	1260
258	439	1257
259	441	1255
260	442	1253
261	444	1251
262	445	1249
263	447	1247
264	448	1244
265	450	1242
266	452	1240
267	453	1238
268	455	1237
269	456	1234
270	458	1232
271	459	1230
272	461	1228
273	462	1226
274	464	1224
